,CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment
0,17850.0,301,0,312,1,5288.630000000009,0,1,Low-Value
1,15808.0,305,0,210,1,3724.7700000000013,0,1,Low-Value
2,13047.0,31,3,196,1,3079.1000000000013,0,4,Mid-Value
3,12583.0,2,3,251,1,7187.339999999993,0,4,Mid-Value
4,14688.0,7,3,359,1,5107.379999999999,0,4,Mid-Value
5,12431.0,35,3,240,1,6416.389999999999,0,4,Mid-Value
6,13448.0,16,3,199,1,3465.6700000000023,0,4,Mid-Value
7,17920.0,3,3,696,1,4204.0999999999885,0,4,Mid-Value
8,17377.0,23,3,419,1,3925.919999999996,0,4,Mid-Value
9,12662.0,0,3,232,1,3817.079999999998,0,4,Mid-Value
10,12472.0,30,3,391,1,6229.480000000004,0,4,Mid-Value
11,17346.0,3,3,503,1,2611.58,0,4,Mid-Value
12,13468.0,1,3,306,1,5656.750000000002,0,4,Mid-Value
13,17690.0,29,3,258,1,4748.450000000001,0,4,Mid-Value
14,14092.0,7,3,217,1,4063.100000000003,0,4,Mid-Value
15,15752.0,39,3,412,1,2628.9300000000026,0,4,Mid-Value
16,15601.0,10,3,414,1,6745.359999999997,0,4,Mid-Value
17,13418.0,11,3,314,1,5845.439999999999,0,4,Mid-Value
18,14388.0,8,3,191,1,3172.040000000002,0,4,Mid-Value
19,18041.0,11,3,474,1,4161.139999999996,0,4,Mid-Value
20,14390.0,9,3,291,1,4592.470000000003,0,4,Mid-Value
21,14060.0,4,3,203,1,6135.379999999998,0,4,Mid-Value
22,15544.0,8,3,261,1,3542.5099999999948,0,4,Mid-Value
23,14180.0,10,3,248,1,4640.769999999999,0,4,Mid-Value
24,14449.0,18,3,258,1,907.0999999999999,0,4,Mid-Value
25,16186.0,22,3,219,1,3991.9400000000032,0,4,Mid-Value
26,17228.0,15,3,208,1,1906.0900000000015,0,4,Mid-Value
27,17757.0,0,3,742,1,5585.4899999999925,0,4,Mid-Value
